"","Subject","Gender","Age","Handedness","First_Language","Matching","Identity","Phase","Shape","Label","WeShape","SelfShape","TheyShape","AloneShape","ShapeLoc","Response","RT_sec","ACC","RT_ms","ScreenResolution","RefreshRate","Luminance","TextColor","BackgroundColor","VisualAngle","Contrast"
"63",1,"Female",24,"r","h","Match","They","EXPERIMENT","They","They","Triangle","Circle","Diamond","Star","Bottom","m",0.717,1,717,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"64",1,"Female",24,"r","h","Match","They","EXPERIMENT","They","They","Triangle","Circle","Diamond","Star","Top","m",0.617,1,617,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"65",1,"Female",24,"r","h","Match","They","EXPERIMENT","They","They","Triangle","Circle","Diamond","Star","Top","m",0.9,1,900,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"66",1,"Female",24,"r","h","Match","They","EXPERIMENT","They","They","Triangle","Circle","Diamond","Star","Top","m",0.767,1,767,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"67",1,"Female",24,"r","h","Match","They","EXPERIMENT","They","They","Triangle","Circle","Diamond","Star","Top","m",0.617,1,617,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"68",1,"Female",24,"r","h","Match","They","EXPERIMENT","They","They","Triangle","Circle","Diamond","Star","Bottom","n",0.9,0,900,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"69",1,"Female",24,"r","h","Match","They","EXPERIMENT","They","They","Triangle","Circle","Diamond","Star","Bottom","m",0.85,1,850,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"70",1,"Female",24,"r","h","Match","They","EXPERIMENT","They","They","Triangle","Circle","Diamond","Star","Bottom","m",0.883,1,883,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"71",1,"Female",24,"r","h","Match","They","EXPERIMENT","They","They","Triangle","Circle","Diamond","Star","Top","m",0.9,1,900,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"72",1,"Female",24,"r","h","Match","They","EXPERIMENT","They","They","Triangle","Circle","Diamond","Star","Top","m",0.784,1,784,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"73",1,"Female",24,"r","h","Match","They","EXPERIMENT","They","They","Triangle","Circle","Diamond","Star","Bottom","m",0.734,1,734,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"74",1,"Female",24,"r","h","Match","They","EXPERIMENT","They","They","Triangle","Circle","Diamond","Star","Bottom","m",0.817,1,817,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"75",1,"Female",24,"r","h","Match","We","TRAINING","We","We","Triangle","Circle","Diamond","Star","Top","n",0.717,0,717,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"76",1,"Female",24,"r","h","Match","We","TRAINING","We","We","Triangle","Circle","Diamond","Star","Bottom","m",0.8,1,800,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"77",1,"Female",24,"r","h","Match","We","EXPERIMENT","We","We","Triangle","Circle","Diamond","Star","Top","n",0.717,0,717,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"78",1,"Female",24,"r","h","Match","We","EXPERIMENT","We","We","Triangle","Circle","Diamond","Star","Bottom","m",0.717,1,717,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"79",1,"Female",24,"r","h","Match","We","EXPERIMENT","We","We","Triangle","Circle","Diamond","Star","Bottom","m",0.833,1,833,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"80",1,"Female",24,"r","h","Match","We","EXPERIMENT","We","We","Triangle","Circle","Diamond","Star","Top","m",0.817,1,817,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"81",1,"Female",24,"r","h","Match","We","EXPERIMENT","We","We","Triangle","Circle","Diamond","Star","Bottom","m",0.634,1,634,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"82",1,"Female",24,"r","h","Match","We","EXPERIMENT","We","We","Triangle","Circle","Diamond","Star","Top","m",0.634,1,634,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"83",1,"Female",24,"r","h","Match","We","EXPERIMENT","We","We","Triangle","Circle","Diamond","Star","Bottom","m",0.983,1,983,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"84",1,"Female",24,"r","h","Match","We","EXPERIMENT","We","We","Triangle","Circle","Diamond","Star","Top","m",0.8,1,800,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"85",1,"Female",24,"r","h","Match","We","EXPERIMENT","We","We","Triangle","Circle","Diamond","Star","Top","m",0.75,1,750,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"86",1,"Female",24,"r","h","Match","We","EXPERIMENT","We","We","Triangle","Circle","Diamond","Star","Bottom","m",0.784,1,784,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"87",1,"Female",24,"r","h","Match","We","EXPERIMENT","We","We","Triangle","Circle","Diamond","Star","Bottom","m",0.734,1,734,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
